appraisal_id,organization_name,property_type,loan_type,created_at,qc_versions,revision_exists,lender_revision_exists,minutes_cycle_time,minutes_in_review_v1,minutes_in_queue,rules_run
APR-000001,Ocean Appraisal,Condo,Purchase,2025-08-21 11:04:14,2,1,False,510,25.0,7,142
APR-000002,Forest Appraisal,Manufactured,Purchase,2025-07-30 11:04:14,1,0,False,179,16.0,163,127
APR-000003,Ocean Appraisal,Single Family,Refinance,2025-07-21 11:04:14,1,0,False,15,9.0,6,84
APR-000004,Ocean Appraisal,Manufactured,Purchase,2025-09-19 11:04:14,3,1,False,894,34.0,9,140
APR-000005,Ocean Appraisal,Manufactured,Refinance,2025-10-08 11:04:14,3,1,False,360,20.0,7,72
APR-000006,Horizon Appraisal,Townhouse,Purchase,2025-09-30 11:04:14,1,0,False,228,10.0,218,104
APR-000007,Ocean Appraisal LLC,Multi-Family,Refinance,2025-08-06 11:04:14,1,0,True,22,11.0,11,63
APR-000008,River Appraisal,Townhouse,Purchase,2025-08-13 11:04:14,1,1,True,29,25.0,4,130
APR-000009,"Ocean Appraisal, Inc.",Townhouse,Purchase,2025-07-29 11:04:14,1,1,False,36,27.0,9,149
APR-000010,River Appraisal Inc.,Multi-Family,Purchase,2025-07-22 11:04:14,2,1,False,1542,25.0,4,150
APR-000011,Delta Appraisal,Single Family,Purchase,2025-09-03 11:04:14,2,1,False,810,34.0,15,169
APR-000012,Delta Appraisal,Manufactured,Purchase,2025-10-05 11:04:14,1,1,False,45,33.0,12,136
APR-000013,River-Appraisal,Single Family,Purchase,2025-07-25 11:04:14,1,1,False,32,26.0,6,132
APR-000014,Forest Appraisal,Condo,Refinance,2025-07-27 11:04:14,1,0,False,135,11.0,124,83
APR-000015,Ocean Appraisal,Townhouse,Refinance,2025-09-13 11:04:14,1,0,True,28,17.0,11,87
APR-000016,Forest Appraisal,Townhouse,Purchase,2025-08-12 11:04:14,1,0,True,174,25.0,149,158
APR-000017,Ocean Appraisal,Manufactured,Refinance,2025-08-07 11:04:14,1,0,True,19,13.0,6,72
APR-000018,Forest Appraisal,Townhouse,Purchase,2025-09-03 11:04:14,1,1,False,244,39.0,205,147
APR-000019,Delta Appraisal,Single Family,Purchase,2025-08-27 11:04:14,2,1,True,1098,25.0,14,137
APR-000020,Forest Appraisal Inc,Multi-Family,Refinance,2025-08-26 11:04:14,1,0,False,206,9.0,197,78
APR-000021,River Appraisal,Townhouse,Purchase,2025-09-27 11:04:14,3,1,True,576,20.0,6,133
APR-000022,Forest Appraisal,Multi-Family,refinance,2025-09-05 11:04:14,1,0,True,169,14.0,155,71
APR-000023,Forest Appraisal Co.,Manufactured,Purchase,2025-08-17 11:04:14,2,1,True,546,23.0,189,142
APR-000024,Delta Appraisal,Multi-Family,Purchase,2025-09-29 11:04:14,1,1,False,49,35.0,14,144
APR-000025,Delta Appraisal,Condo,Purchase,2025-08-14 11:04:14,1,0,False,40,25.0,15,156
APR-000026,Delta Appraisal,Single Family,Purchase,2025-07-23 11:04:14,1,1,False,44,34.0,10,160
APR-000027,Forest Appraisals,Multi-Family,Refinance,2025-10-12 11:04:14,1,0,True,164,15.0,149,87
